GeneID,Symbol,Entry,Entry Name,Gene Name
7251,TSG101,Q99816,TS101_HUMAN,TSG101
3276,PRMT1,Q99873,ANM1_HUMAN,PRMT1
3276,PRMT1,Q99873,ANM1_HUMAN,HMT2
3276,PRMT1,Q99873,ANM1_HUMAN,HRMT1L2
3276,PRMT1,Q99873,ANM1_HUMAN,IR1B4
6456,SH3GL2,Q99962,SH3G2_HUMAN,SH3GL2
6456,SH3GL2,Q99962,SH3G2_HUMAN,CNSA2
6456,SH3GL2,Q99962,SH3G2_HUMAN,SH3D2A
79109,MAPKAP1,Q9BPZ7,SIN1_HUMAN,MAPKAP1
79109,MAPKAP1,Q9BPZ7,SIN1_HUMAN,MIP1
79109,MAPKAP1,Q9BPZ7,SIN1_HUMAN,SIN1
79036,KXD1,Q9BQD3,KXDL1_HUMAN,KXD1
79036,KXD1,Q9BQD3,KXDL1_HUMAN,C19orf50
79443,FYCO1,Q9BQS8,FYCO1_HUMAN,FYCO1
79443,FYCO1,Q9BQS8,FYCO1_HUMAN,ZFYVE7
55861,DBNDD2,Q9BQY9,DBND2_HUMAN,DBNDD2
55861,DBNDD2,Q9BQY9,DBND2_HUMAN,C20orf35
84313,VPS25,Q9BRG1,VPS25_HUMAN,VPS25
84313,VPS25,Q9BRG1,VPS25_HUMAN,DERP9
84313,VPS25,Q9BRG1,VPS25_HUMAN,EAP20
7780,SLC30A2,Q9BRI3,ZNT2_HUMAN,SLC30A2
7780,SLC30A2,Q9BRI3,ZNT2_HUMAN,ZNT2
80317,ZKSCAN3,Q9BRR0,ZKSC3_HUMAN,ZKSCAN3
80317,ZKSCAN3,Q9BRR0,ZKSC3_HUMAN,ZFP47
80317,ZKSCAN3,Q9BRR0,ZKSC3_HUMAN,ZNF306
80317,ZKSCAN3,Q9BRR0,ZKSC3_HUMAN,ZNF309
